neighborhood,african_american,american_indian,asian__not_pacific_islander,hispanic,multiracial,native_hawaiian_or_other_pacific_islander,white,total_students_enrolled,student_count_redactions,attending_feeder,attending_nonfeeder,total_with_feeder_status,feeder_count_redactions,grade_level
Allegheny West,,,,,,,,,Y,,,,Y,K-5
Allentown,87,,,,16,,27,133,Y,81,52,133,,K-5
Arlington,31,,,,,,33,74,Y,36,38,74,,K-5
Arlington Heights,18,,,,,,,21,Y,,,21,Y,K-5
Banksville,,,22,,11,,46,88,Y,72,16,88,,K-5
Bedford Dwellings,107,,,,,,,112,Y,72,40,112,,K-5
Beechview,85,,,85,40,,125,339,Y,247,92,339,,K-5
Beltzhoover,84,,,,16,,,106,Y,49,57,106,,K-5
Bloomfield,21,,,,,,84,125,Y,44,81,125,,K-5
Bluff,24,,,,,,,29,Y,12,17,29,,K-5
Bon Air,,,,,,,14,17,Y,,,17,Y,K-5
Brighton Heights,143,,,,34,,105,296,Y,163,133,296,,K-5
Brookline,78,,19,28,73,,328,526,N,359,167,526,,K-5
California-Kirkbride,46,,,,,,,55,Y,28,27,55,,K-5
Carrick,150,,73,22,83,,213,541,N,392,149,541,,K-5
Central Lawrenceville,,,,,13,,32,54,Y,22,32,54,,K-5
Central Northside,41,,,,,,28,73,Y,,,73,Y,K-5
Central Oakland,,,,,,,,,Y,,,,Y,K-5
Chartiers City,13,,,,,,,15,Y,,,15,Y,K-5
Crafton Heights,144,,,,33,,43,230,Y,85,145,230,,K-5
Crawford-Roberts,91,,,,,,,98,Y,56,42,98,,K-5
Duquesne Heights,,,,,,,27,41,Y,,,41,Y,K-5
East Allegheny,,,,,,,14,34,Y,12,22,34,,K-5
East Carnegie,,,,,,,,12,Y,,,12,Y,K-5
East Hills,255,,,,14,,,275,Y,175,100,275,,K-5
East Liberty,173,,,,20,,37,247,Y,136,111,247,,K-5
Elliott,58,,,,16,,23,98,Y,44,54,98,,K-5
Esplen,,,,,,,,,Y,,,,Y,K-5
Fairywood,14,,,,,,,46,Y,21,25,46,,K-5
Fineview,37,,,,,,,53,Y,29,24,53,,K-5
Friendship,,,,,,,,20,Y,,,20,Y,K-5
Garfield,187,,,,,,,211,Y,82,129,211,,K-5
Glen Hazel,28,,,,,,,28,N,,,28,Y,K-5
Golden Triangle,,,,,,,,,Y,,,,Y,K-5
Greenfield,19,,13,,17,,150,206,Y,171,35,206,,K-5
Hays,,,,,,,,14,Y,,,14,Y,K-5
Hazelwood,154,,,,23,,38,221,Y,132,89,221,,K-5
Highland Park,57,,,,15,,91,177,Y,52,125,177,,K-5
Homewood North,261,,,,11,,,282,Y,178,104,282,,K-5
Homewood South,203,,,,12,,,218,Y,147,71,218,,K-5
Homewood West,57,,,,,,,58,Y,36,22,58,,K-5
Knoxville,168,,,13,29,,40,257,Y,134,123,257,,K-5
Larimer,112,,,,,,,133,Y,67,66,133,,K-5
Lincoln Place,,,,,12,,84,108,Y,78,30,108,,K-5
Lincoln-Lemington-Belmar,190,,,,13,,,208,Y,103,105,208,,K-5
Lower Lawrenceville,15,,,,,,22,47,Y,27,20,47,,K-5
Manchester,49,,,,,,,66,Y,33,33,66,,K-5
Marshall-Shadeland,135,,,,34,,43,218,Y,133,85,218,,K-5
Middle Hill,110,,,,,,,123,Y,73,50,123,,K-5
Morningside,17,,,,,,53,82,Y,25,57,82,,K-5
Mount Oliver,16,,,,,,,24,Y,,,24,Y,K-5
Mount Washington,68,,,,31,,86,195,Y,136,59,195,,K-5
Mt. Oliver Borough,104,,20,18,27,,40,209,N,95,111,206,,K-5
New Homestead,,,,,,,11,20,Y,,,20,Y,K-5
North Oakland,,,,,,,,,Y,,,,Y,K-5
Northview Heights,243,,,,,,,254,Y,108,146,254,,K-5
Oakwood,,,17,,,,18,44,Y,11,33,44,,K-5
Overbrook,17,,,,,,84,120,Y,67,53,120,,K-5
Perry North,90,,,,21,,64,182,Y,74,108,182,,K-5
Perry South,131,,,13,26,,16,189,Y,51,138,189,,K-5
Point Breeze,,,,,,,72,99,Y,63,36,99,,K-5
Point Breeze North,28,,,,,,16,52,Y,28,24,52,,K-5
Polish Hill,,,,,,,,23,Y,12,11,23,,K-5
Regent Square,,,,,,,,,Y,,,,Y,K-5
Ridgemont,,,,,,,,,Y,,,,Y,K-5
Saint Clair,,,,,,,,13,Y,,,13,Y,K-5
Shadyside,14,,42,,14,,39,116,Y,97,19,116,,K-5
Sheraden,189,,,,49,,32,275,Y,185,90,275,,K-5
South Oakland,19,,,,,,,23,Y,,,23,Y,K-5
